addressNames,poolholdings
0x76ec5a0d3632b2133d9f1980903305b62678fbd3,5087957.189802717
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,4954477.791848474
0x775a23aceb8c8dbb237365df880a388e51686d62,4936421.315389492
0x109aea0ee5b8a6c90051b97483ac45db38f5b30c,4859316.151315163
0x48e2e6412f135aaf28858065520afa52ddfd3777,4742989.923541696
0x783aa67c1f460482442d02710dd1f1909de71f45,4683286.026797711
0x3f6a6f3b1bf064296a5880c0102d2c4e7d383932,4676310.475113296
0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61,4643455.078461763
0xdd4f17ad47941b0dbb9103ee613596e825a4d10e,4623562.549039383
0x71956a1cd5a4233177f7bf9a2d5778851e201934,4550272.917796604
0x5770815b0c2a09a43c9e5aecb7e2f3886075b605,4486625.420431388
0x6ccd4f34c0c7b000de53e66d54619d3d456f0bc1,4419798.408031176
0x4595f79e05cd2cf35d55743af7c79fff56ff0d2f,4407081.112834697
0xf1e533ac274ee39d1f6f7885805c0e825aa5d89c,4400000.0
0xa023f08c70a23abc7edfc5b6b5e171d78dfc947e,4113788.4544112696
0x971add32ea87f10bd192671630be3be8a11b8623,4038245.1517569064
0xd8521f74e45771436bc8960ca63f592d18af801b,4033744.102605117
0x4ebdf703948ddcea3b11f675b4d1fba9d2414a14,3907815.089373981
0x96efdf95cc47fe90e8f63d2f5ef9fb8b180daeb9,3801993.2904501883
0x667413b859ca5df5da0705c48dca7632d44409d5,3712065.24648635
0x73c0b7bc23796513699a5415b9f8f3d295002ce8,3702357.0479104444
0xe3c566fd695fc63cd055c6066a8b737e4a03d546,3691121.3848368996
0xaa0c3f5f7dfd688c6e646f66cd2a6b66acdbe434,3503164.6119721285
0xa5946a2c7a6c4232224b89a696ae51879bf5aed1,3485190.138981
0x2933782b5a8d72f2754103d1489614f29bfa4625,3293361.1783610363
0x94fd231fbae3d66c0e1317350d708ac189c9a5cb,3281017.2353801415
0x8c1ab81d262c90daf5a1e2ebc831f4f9cc8812e5,3259613.35104923
0x436f6186cd323abd8433bf1311389e561356b3b5,3136444.94621982
0xa3f74537f048b893d726c173cb322fd21a28b18a,3050000.0
0xb8e1033b4e49a29746b0ed105c7fe5a917d20d11,2997000.3
0xf35a6bd6e0459a4b53a27862c51a2a7292b383d1,2946830.1900000004
0x29ea0ab02778e4f014e803af697f9204319ca4ae,2864954.9020999996
0x326d9f47ba49bbaac279172634827483af70a601,2829980.3000000003
0x5ee84d30c7ee57f63f71c92247ff31f95e26916b,2821293.9590722597
